TYP_ZVÍŘETE;JMÉNO_ZVÍŘETE;GENDER
Lizard;tense puma;M
Donkey;shivering goat;Z
Bear;light rodent;Z
Horse;fine lungfish;Z
Fox;terrible catshark;M
Dog;parental cattle;Z
Donkey;implicit kite;M
Donkey;coming clam;M
Lion;tame python;Z
Lion;native xerinae;Z
Cat;real marten;Z
Tiger;weak leech;Z
Fox;collective moth;M
Horse;eligible tapir;Z
Fox;diplomatic gull;Z
Lizard;leading coral;M
Fox;naval horse;M
Fox;long kingfisher;Z
Donkey;beautiful shrimp;Z
Tiger;cuddly python;Z
Bear;early marmot;M
Donkey;dry crab;M
Parrot;damp reindeer;Z
Dog;hissing stork;M
Lion;nosy fish;Z
Bear;happy bison;Z
Parrot;spare impala;M
Donkey;magenta koi;M
Fox;powerful grouse;Z
Fox;quickest angelfish;M
Dog;mere llama;Z
Parrot;distinctive emu;Z
Horse;renewed hamster;Z
Bear;divine ermine;Z
Horse;brown meadowlark;Z
Tiger;concerned goldfish;M
Horse;established lungfish;Z
Horse;loud camel;M
Donkey;possible kingfisher;Z
Lion;lively snake;Z
Parrot;ancient pelican;M
Dog;dirty hippopotamus;M
Fox;grumpy hawk;Z
Lizard;lucky hare;M
Fox;resulting bee;M
Horse;yummy earwig;Z
Parrot;convinced peacock;Z
Tiger;breakable clownfish;M
Lizard;extended lizard;M
Cat;worrying seahorse;Z
Horse;visiting turkey;M
Lizard;excited donkey;M
Lion;only beaver;Z
Cat;careful shrimp;Z
Fox;fancy ladybug;Z
Lion;brief hare;M
Donkey;fiscal catfish;M
Bear;hollow bovid;M
Bear;chronic caterpillar;M
Parrot;wrong lizard;M
Fox;icy junglefowl;M
Dog;clumsy bobcat;Z
Horse;regulatory piranha;M
Bear;bitter chinchilla;Z
Cat;absent pig;Z
Cat;preferred quokka;M
Dog;naval eagle;Z
Cat;thorough sparrow;M
Donkey;filthy heron;M
Horse;brave minnow;Z
Parrot;curved guanaco;Z
Horse;slow earwig;Z
Donkey;tiny coyote;Z
Fox;crooked guanaco;M
Fox;fair crow;M
Bear;zany pig;M
Lizard;striped parakeet;Z
Lion;fair goat;Z
Lizard;academic angelfish;M
Dog;persistent leopon;Z
Dog;ugly fish;M
Horse;literary eel;M
Lizard;generous dog;Z
Lion;efficient guppy;Z
Bear;beautiful mite;Z
Fox;hollow cicada;M
Donkey;biological heron;Z
Fox;proud marsupial;M
Lion;fundamental reptile;M
Parrot;sensible cephalopod;M
Cat;willing sparrow;Z
Lion;united tuna;M
Cat;convenient quail;M
Fox;eventual goldfish;M
Lizard;curved spider;M
Fox;eligible rodent;M
Fox;statutory smelt;Z
Tiger;helpless gamefowl;M
Donkey;residential moth;Z
Cat;criminal pig;Z
Horse;bright parakeet;Z
Donkey;gradual cuckoo;Z
Dog;naval ostrich;M
Bear;smoggy moth;Z
Tiger;cool starfish;M
Tiger;slim swordfish;Z
Tiger;quiet beaver;M
Parrot;entire toucan;Z
Parrot;public wildfowl;M
Bear;solar viper;Z
Dog;spiritual moth;Z
Donkey;odd emu;M
Parrot;overseas guanaco;M
Lizard;rainy hippopotamus;M
Horse;remote leech;M
Fox;chilly cod;M
Tiger;distinct flea;Z
Cat;serious flyingfish;M
Cat;unsightly quelea;M
Fox;silly vole;M
Tiger;secure jellyfish;Z
Fox;sympathetic limpet;M
Donkey;grieving mollusk;M
Lion;rich dog;M
Bear;fundamental grouse;M
Fox;tremendous guan;M
Cat;kind macaw;Z
Donkey;comfortable perch;Z
Bear;fierce puffin;Z
Parrot;integral ptarmigan;M
Lion;odd cat;Z
Dog;extra mule;M
Horse;decent albatross;M
Bear;healthy booby;Z
Fox;loud clam;Z
Lizard;encouraging lizard;Z
Donkey;beautiful mosquito;M
Cat;specific cheetah;M
Donkey;compatible wolverine;M
Lizard;adjacent puffin;Z
Horse;cute tortoise;Z
Horse;compatible bass;Z
Lion;swift puma;M
Tiger;gross hamster;Z
Parrot;mute bass;M
Parrot;orange carp;M
Dog;christian python;M
Dog;comfortable worm;M
Lizard;scrawny amphibian;Z
Dog;extreme fly;M
Donkey;coherent basilisk;M
Lion;short yak;M
Donkey;unusual galliform;Z
Fox;outer boa;M
Tiger;classical coral;Z
Bear;beautiful booby;Z
Parrot;fast coral;Z
Horse;considerable monkey;Z
Lion;silly echidna;Z
Lizard;poised rattlesnake;M
Lion;interior eagle;M
Cat;conscious bass;M
Fox;future porcupine;Z
Horse;conceptual pigeon;M
Dog;excess peacock;Z
Dog;dull hamster;M
Tiger;interesting asp;M
Dog;enthusiastic tern;Z
Donkey;doubtful blackbird;Z
Cat;afraid guppy;Z
Bear;white thrush;M
Lion;ugly kingfisher;Z
Parrot;good wildebeest;M
Parrot;literary rat;M
Cat;sour toad;M
Donkey;random dove;Z
Cat;environmental lark;Z
Horse;broad spider;M
Horse;charming ape;M
Dog;disappointed falcon;M
Fox;fat newt;M
Dog;advanced lemming;Z
Fox;uneven wildebeest;M
Tiger;terrible dog;Z
Tiger;empirical magpie;Z
Horse;gradual booby;Z
Tiger;fierce horse;M
Parrot;atomic pigeon;M
Donkey;cheerful snail;M
Donkey;just marsupial;Z
Parrot;formidable chimpanzee;M
Dog;bored rooster;Z
Horse;sad cuckoo;Z
Tiger;chosen dinosaur;Z
Bear;harsh silverfish;M
Lizard;incredible jellyfish;M
Cat;intense hamster;M
Parrot;active hornet;M
Tiger;hidden meerkat;M
Tiger;shy tahr;Z
Lizard;divine mammal;Z
Bear;arbitrary thrush;M
Bear;crooked caribou;Z
